userId,movieId,rating,timestamp
14,4,3.0,835441653
14,7,3.0,835441989
14,19,1.0,835441168
219,6,3.5,1198783144
219,10,4.5,1194932162
219,19,2.5,1194932235
220,1,5.0,1230055565
220,6,3.5,1230061735
220,10,4.0,1230055828
221,2,3.5,1111177796
222,2,2.5,1391353926
222,19,3.5,1391351897
223,1,3.5,1226209758
226,1,3.5,1095662606
226,2,3.0,1095662788
226,3,3.5,1095662861
226,10,4.0,1095662675
226,16,4.5,1095662900
226,19,3.5,1095662814
227,17,3.5,1447210004
229,1,5.0,838144316
229,5,3.0,838143681
229,10,4.0,836941790
229,19,3.0,836942063
230,2,2.5,1196305107
232,1,3.5,1076955621
232,2,4.0,1085351710
232,10,3.0,1218167397
233,1,3.0,1524781249
270,9,3.0,853918943
489,7,4.0,1334587547
489,10,2.5,1333101410
489,11,1.5,1334170648
489,17,4.5,1332773255
489,18,2.0,1333234401
489,19,2.0,1333101593
490,1,3.5,1328229305
490,5,0.5,1324370305
492,1,4.0,863975949
492,3,4.0,863976005
492,5,3.0,863976004
492,6,3.0,863976004
492,7,3.0,863976055
492,9,5.0,863976201
492,12,3.0,863976249
492,14,3.0,863976101
493,6,4.0,1001562846
495,19,4.5,1458636447
497,2,2.5,1429127190
497,19,4.0,1429127195
498,7,4.0,839197378
498,10,3.0,839197307
500,1,4.0,1005527755
500,11,1.0,1005528017
501,2,3.0,844973419
501,3,5.0,844973817
501,5,3.0,844973535
501,6,3.0,844973487
501,7,4.0,844973817
501,8,3.0,844974090
501,10,4.0,844973340
501,11,3.0,844973340
501,15,1.0,844973980
501,16,3.0,844973535
501,17,3.0,844973419
501,18,5.0,844974006
501,20,1.0,844974037
504,1,4.0,1063644695
509,1,4.0,1435992343
509,5,1.5,1435992893
509,13,3.0,1436101243
509,17,3.0,1435992515
509,19,4.0,1436027225
510,7,1.0,1141158812
510,16,1.0,1141158760
512,2,3.0,841449636
513,7,3.0,1159980407
514,1,4.0,1533872400
514,11,4.0,1533949297
514,16,3.5,1533872553
517,1,4.0,1487954343
517,2,3.0,1487954340
517,10,0.5,1487957717
597,7,1.0,941558874
597,10,3.0,941729264
608,1,2.5,1117408267
608,2,2.0,1117490786
608,3,2.0,1117504413
608,10,4.0,1117408486
608,16,4.5,1189471181
608,19,2.0,1117504385
609,1,3.0,847221025
609,10,4.0,847220937
610,1,5.0,1479542900
610,6,5.0,1493850345
610,16,4.5,1479542171
